text,action,category,cleaned_text,char_count,word_count,sentiment_score
The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,the pillow are lumpy and uncomfortable,40,6,0
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation,action needed no supervision in the childrens play area,58,9,0
Not happy. The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms,not happy the room smelled like stale cigarette smoke,55,9,0
"Honestly, they couldn't find my booking in the system.",Review Check-in Process,Services,honestly they couldnt find my booking in the system,54,9,0
Action needed: The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food,action needed the food tasted slightly spoiled and smelled bad,64,10,-1
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food,not happy asked for no onion but got onion anyway,53,10,0
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services,not happy staff speaks very poor english hard to communicate,63,10,-1
Feedback: I want a refund for this terrible meal.,Compensate Guest,Food,feedback i want a refund for this terrible meal,49,9,-1
"Honestly, i think i saw a mouse behind the curtain.",Pest Control Investigation,Rooms,honestly i think i saw a mouse behind the curtain,51,10,0
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,action needed the bathroom tile had mold in the grout,56,10,-1
Staff got my order wrong three times. Terrible.,Staff Training (Food),Food,staff got my order wrong three time terrible,47,8,-1
asked for no onions but got onions anyway.,Staff Training (Food),Food,asked for no onion but got onion anyway,42,8,0
Feedback: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,feedback the furniture is worn out and chipped,48,8,0
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,the hairdryer provided is useless and overheating,50,7,0
No one came to clear our table for 30 minutes. Terrible.,Staff Training (Food),Food,no one came to clear our table for minute terrible,56,11,-1
"Honestly, worst dining experience ever, i expect compensation.",Compensate Guest,Food,honestly worst dining experience ever i expect compensation,62,8,-1
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,feedback yoga mat are torn and dirty,39,7,-1
Feedback: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,feedback room wasnt ready at pm checkin time,50,9,0
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,review towel are thin scratchy and old,43,7,-1
"Honestly, housekeeper stole money from my wallet.",Disciplinary Action,Services,honestly housekeeper stole money from my wallet,49,7,0
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,review the furniture is worn out and chipped,46,8,0
"Honestly, tour guide gave us incorrect historical info.",Recreation Staff Review,Recreation,honestly tour guide gave u incorrect historical info,55,8,0
I found a hair in my food.,Inspect Kitchen Hygiene,Food,i found a hair in my food,26,7,0
Review: The bill included a service charge that was not mentioned.,Compensate Guest,Food,review the bill included a service charge that wa not mentioned,66,11,0
no supervision in the children's play area.,Recreation Staff Review,Recreation,no supervision in the childrens play area,43,7,0
"Honestly, employee was on their phone ignoring guests.",Disciplinary Action,Services,honestly employee wa on their phone ignoring guest,54,8,0
The hairdryer provided is useless and overheating. Terrible.,Upgrade Room Amenities,Rooms,the hairdryer provided is useless and overheating terrible,60,8,-1
staff was arguing loudly in the hallway.,Disciplinary Action,Services,staff wa arguing loudly in the hallway,40,7,0
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh,43,8,0
Review: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,review saw a cockroach near the kitchen entrance,50,8,0
"Honestly, the bill included a service charge that was not mentioned.",Compensate Guest,Food,honestly the bill included a service charge that wa not mentioned,68,11,0
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation,review cable machine is stuck and dangerous,45,7,0
Not enough weights for a proper workout.,Update Gym Equipment,Recreation,not enough weight for a proper workout,40,7,0
No supervision in the children's play area.,Recreation Staff Review,Recreation,no supervision in the childrens play area,43,7,0
Feedback: They charged us for items we didn't order.,Compensate Guest,Food,feedback they charged u for item we didnt order,52,9,0
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food,review not enough vegetarian or vegan option,47,7,0
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food,action needed seasonal dish listed on the menu were not available,69,11,0
Action needed: I found a hair in my food.,Inspect Kitchen Hygiene,Food,action needed i found a hair in my food,41,9,0
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,honestly dust everywhere especially under the bed,52,7,0
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,action needed the bathroom tile had mold in the grout,56,10,-1
"Review: Worst dining experience ever, I expect compensation.",Compensate Guest,Food,review worst dining experience ever i expect compensation,60,8,-1
there was a spider on the pillow.,Pest Control Investigation,Rooms,there wa a spider on the pillow,33,7,0
Review: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,review air conditioner is loud and barely cool the room,58,10,0
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad terrible,59,9,-2
Bellboy didn't explain how to use the key card. Terrible.,Staff Communication Training,Services,bellboy didnt explain how to use the key card terrible,57,10,-1
"Towels are thin, scratchy, and old. Terrible.",Upgrade Room Amenities,Rooms,towel are thin scratchy and old terrible,45,7,-2
"Action needed: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,action needed dust everywhere especially under the bed,57,8,0
Not happy. We were promised a complimentary drink but never got it.,Compensate Guest,Food,not happy we were promised a complimentary drink but never got it,67,12,0
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services,review checkin line wa huge and only one counter open,57,10,0
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation,action needed the pool water wa cloudy and green,51,9,0
Review: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,review the hairdryer provided is useless and overheating,58,8,0
Review: No one came to clear our table for 30 minutes.,Staff Training (Food),Food,review no one came to clear our table for minute,54,11,0
There was a strange object in the soup. Terrible.,Inspect Kitchen Hygiene,Food,there wa a strange object in the soup terrible,49,9,-1
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms,window were dirty and hard to see through terrible,53,9,-2
Housekeeper stole money from my wallet.,Disciplinary Action,Services,housekeeper stole money from my wallet,39,6,0
Review: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services,review staff member wa smoking right outside the lobby door,62,10,0
Review: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms,review the carpet wa stained and smelled of mold,51,9,-1
Review: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,review no iron or ironing board in the room,45,9,0
"Need better lighting, the room is too dim. Terrible.",Upgrade Room Amenities,Rooms,need better lighting the room is too dim terrible,52,9,-1
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services,honestly the concierge made a rude comment about my appearance,64,10,-1
Action needed: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,action needed the sheet had spot and didnt look fresh,58,10,0
Feedback: The coffee was burnt and bitter.,Revise Menu Quality,Food,feedback the coffee wa burnt and bitter,42,7,0
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,feedback i got food poisoning after eating the seafood,56,9,0
"Not happy. We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,not happy we waited hour for our food this is unacceptable,64,12,0
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food,review the salad wa wilted and brown,39,7,0
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,beach staff demanded tip for chair,37,6,0
The waiter spilled soup on me and didn't apologize. Terrible.,Staff Training (Food),Food,the waiter spilled soup on me and didnt apologize terrible,61,10,-1
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,dust everywhere especially under the bed,42,6,0
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services,honestly staff member wa smoking right outside the lobby door,64,10,0
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services,honestly unprofessional behavior from the night manager,57,7,0
Review: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food,review the hostess wa welcoming but the server were grumpy,62,10,0
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
"Honestly, no supervision in the children's play area.",Recreation Staff Review,Recreation,honestly no supervision in the childrens play area,53,8,0
Review: The menu options are very limited and boring.,Revise Menu Quality,Food,review the menu option are very limited and boring,53,9,0
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food,feedback the bill included a service charge that wa not mentioned,68,11,0
Concierge was unable to give simple directions.,Staff Communication Training,Services,concierge wa unable to give simple direction,47,7,0
Review: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food,review there wa a strange object in the soup,47,9,0
staff seemed confused by the check-in software.,Review Check-in Process,Services,staff seemed confused by the checkin software,47,7,0
"Honestly, charged 5 stars price for 1 star food.",Compensate Guest,Food,honestly charged star price for star food,48,9,0
Feedback: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,feedback lifeguard wa on their phone the whole time,54,9,0
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night,44,9,0
Feedback: Staff got my order wrong three times.,Staff Training (Food),Food,feedback staff got my order wrong three time,47,8,0
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services,lobby is chaotic and disorganized terrible,44,6,-1
Feedback: Staff was arguing loudly in the hallway.,Disciplinary Action,Services,feedback staff wa arguing loudly in the hallway,50,8,0
Review: Pool shower wasn't working.,Pool Maintenance,Recreation,review pool shower wasnt working,35,5,0
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food,not happy i found a hair in my food,37,9,0
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation,tennis coach didnt show up for the lesson terrible,53,9,-1
Action needed: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,action needed pool ladder are loose and dangerous,52,8,0
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,not happy dust everywhere especially under the bed,53,8,0
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info terrible,55,8,-1
"Honestly, i found a hair in my food.",Inspect Kitchen Hygiene,Food,honestly i found a hair in my food,36,8,0
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,not happy the pillow are lumpy and uncomfortable,51,8,0
Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms,curtain were dusty and triggered my allergy,47,7,0
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food,they lost our reservation even though we booked week ago,58,10,0
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,review they lost our reservation even though we booked week ago,66,11,0
i got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,i got food poisoning after eating the seafood,46,8,0
Action needed: Not enough vegetarian or vegan options.,Revise Menu Quality,Food,action needed not enough vegetarian or vegan option,54,8,0
minibar was empty and not working.,Upgrade Room Amenities,Rooms,minibar wa empty and not working,34,6,0
Feedback: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation,feedback pool attendant refused to give me a towel,52,9,0
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,lifeguard wa on their phone the whole time,44,8,0
"Honestly, need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,honestly need better lighting the room is too dim,52,9,0
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,feedback yoga mat are torn and dirty,39,7,-1
Not happy. Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,not happy fly buzzing around the room constantly,52,8,0
The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food,the plate were dirty and had leftover food stain,51,9,-1
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,feedback beach staff demanded tip for chair,47,7,0
The waiter spilled soup on me and didn't apologize. Terrible.,Staff Training (Food),Food,the waiter spilled soup on me and didnt apologize terrible,61,10,-1
They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,they lost our reservation even though we booked week ago,58,10,0
Feedback: No water or towels available in the gym.,Update Gym Equipment,Recreation,feedback no water or towel available in the gym,50,9,0
Action needed: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation,action needed gym equipment is ancient and rusty,50,8,0
Action needed: No one told us about the construction noise.,Staff Communication Training,Services,action needed no one told u about the construction noise,59,10,-1
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,window were dirty and hard to see through,43,8,-1
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,action needed we waited hour for our food this is unacceptable,68,12,0
Action needed: The coffee was burnt and bitter.,Revise Menu Quality,Food,action needed the coffee wa burnt and bitter,47,8,0
"Review: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,review too much chlorine in the pool burned my eye,54,10,0
Action needed: Lobby is chaotic and disorganized.,Review Check-in Process,Services,action needed lobby is chaotic and disorganized,49,7,0
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info terrible,55,8,-1
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation,not happy no water or towel available in the gym,51,10,0
Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,pool ladder are loose and dangerous,37,6,0
they couldn't find my booking in the system.,Review Check-in Process,Services,they couldnt find my booking in the system,44,8,0
"Honestly, air conditioner is loud and barely cools the room.",Upgrade Room Amenities,Rooms,honestly air conditioner is loud and barely cool the room,60,10,0
No one came to clear our table for 30 minutes.,Staff Training (Food),Food,no one came to clear our table for minute,46,10,0
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms,the room smelled like stale cigarette smoke terrible,54,8,-1
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,review lifeguard wa on their phone the whole time,52,9,0
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food,feedback the bill included a service charge that wa not mentioned,68,11,0
"Honestly, kids club staff seemed bored and inattentive.",Recreation Staff Review,Recreation,honestly kid club staff seemed bored and inattentive,55,8,0
Feedback: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,feedback bed bug bit me all over my leg,43,9,0
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
They didn't tell us the pool was under maintenance.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance,51,9,0
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation,feedback treadmill were all out of order,43,7,0
misunderstanding about the room rate caused issues.,Staff Communication Training,Services,misunderstanding about the room rate caused issue,51,7,0
Review: Activity director was rude to the guests.,Recreation Staff Review,Recreation,review activity director wa rude to the guest,49,8,-1
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,feedback saw ant marching across the bathroom sink,53,8,0
tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info,45,7,0
"Review: Key cards didn't work, had to go back down.",Review Check-in Process,Services,review key card didnt work had to go back down,51,10,0
Review: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food,review there wa a strange object in the soup,47,9,0
Action needed: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,action needed room wasnt ready at pm checkin time,55,10,0
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms,window were dirty and hard to see through terrible,53,9,-2
No supervision in the children's play area.,Recreation Staff Review,Recreation,no supervision in the childrens play area,43,7,0
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms,honestly the toilet wasnt flushed when we arrived,52,8,0
Not happy. Staff member laughed at my complaint.,Disciplinary Action,Services,not happy staff member laughed at my complaint,48,8,0
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services,feedback security guard wa sleeping on the job,49,8,0
Feedback: No water or towels available in the gym.,Update Gym Equipment,Recreation,feedback no water or towel available in the gym,50,9,0
The salad was wilted and brown.,Inspect Kitchen Hygiene,Food,the salad wa wilted and brown,31,6,0
"Honestly, kids club staff seemed bored and inattentive.",Recreation Staff Review,Recreation,honestly kid club staff seemed bored and inattentive,55,8,0
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcooked and mushy,50,8,0
Action needed: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,action needed i got food poisoning after eating the seafood,61,10,0
Not happy. Conflicting information from different staff members.,Staff Communication Training,Services,not happy conflicting information from different staff member,64,8,0
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services,honestly they forgot to give u our wakeup call,50,9,0
"Honestly, they couldn't find my booking in the system.",Review Check-in Process,Services,honestly they couldnt find my booking in the system,54,9,0
the server was rude when i asked for water.,Staff Training (Food),Food,the server wa rude when i asked for water,43,9,-1
Review: They charged us for items we didn't order.,Compensate Guest,Food,review they charged u for item we didnt order,50,9,0
Review: System crashed during check-in.,Review Check-in Process,Services,review system crashed during checkin,39,5,0
Feedback: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,feedback tile around the pool are broken and sharp,53,9,-1
"Not happy. Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,not happy too much chlorine in the pool burned my eye,57,11,0
Feedback: Staff got my order wrong three times.,Staff Training (Food),Food,feedback staff got my order wrong three time,47,8,0
Feedback: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,feedback the pillow are lumpy and uncomfortable,50,7,0
Review: Bike seat is broken.,Update Gym Equipment,Recreation,review bike seat is broken,28,5,-1
"Honestly, it took 45 minutes just to check in.",Review Check-in Process,Services,honestly it took minute just to check in,46,9,0
 Filtration system was making a loud noise. Terrible.,Pool Maintenance,Recreation,filtration system wa making a loud noise terrible,53,8,-1
Feedback: No supervision in the children's play area.,Recreation Staff Review,Recreation,feedback no supervision in the childrens play area,53,8,0
Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food,staff didnt know the ingredient of the dish,48,8,0
treadmills were all out of order.,Update Gym Equipment,Recreation,treadmill were all out of order,33,6,0
The room is infested with insects. Terrible.,Pest Control Investigation,Rooms,the room is infested with insect terrible,44,7,-1
Feedback: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,feedback pool ladder are loose and dangerous,47,7,0
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,honestly dust everywhere especially under the bed,52,7,0
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
i want a refund for this terrible meal.,Compensate Guest,Food,i want a refund for this terrible meal,39,8,-1
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,not happy tour guide gave u incorrect historical info,56,9,0
system crashed during check-in.,Review Check-in Process,Services,system crashed during checkin,31,4,0
Review: The steak was tough and flavorless.,Revise Menu Quality,Food,review the steak wa tough and flavorless,43,7,0
Staff seemed confused by the check-in software.,Review Check-in Process,Services,staff seemed confused by the checkin software,47,7,0
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services,honestly they forgot to give u our wakeup call,50,9,0
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation,pool shower wasnt working terrible,37,5,-1
Action needed: Staff member laughed at my complaint.,Disciplinary Action,Services,action needed staff member laughed at my complaint,52,8,0
Review: Security guard was sleeping on the job.,Disciplinary Action,Services,review security guard wa sleeping on the job,47,8,0
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,action needed they lost our reservation even though we booked week ago,73,12,0
Not enough weights for a proper workout. Terrible.,Update Gym Equipment,Recreation,not enough weight for a proper workout terrible,50,8,-1
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation,honestly spa therapist wa chatting during the massage,56,8,0
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services,feedback housekeeper stole money from my wallet,49,7,0
Service in the restaurant was incredibly slow.,Staff Training (Food),Food,service in the restaurant wa incredibly slow,46,7,0
Feedback: Unprofessional behavior from the night manager.,Disciplinary Action,Services,feedback unprofessional behavior from the night manager,57,7,0
lobby is chaotic and disorganized.,Review Check-in Process,Services,lobby is chaotic and disorganized,34,5,0
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food,the buffet area looked unclean and messy,41,7,0
Review: Called reception but no one answered the phone.,Staff Communication Training,Services,review called reception but no one answered the phone,55,9,0
Valet scratched my car and denied it.,Disciplinary Action,Services,valet scratched my car and denied it,37,7,0
Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,fly buzzing around the room constantly,41,6,0
Feedback: Activity director was rude to the guests.,Recreation Staff Review,Recreation,feedback activity director wa rude to the guest,51,8,-1
"Honestly, i want a refund for this terrible meal.",Compensate Guest,Food,honestly i want a refund for this terrible meal,49,9,-1
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services,feedback they couldnt find my booking in the system,54,9,0
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad,49,8,-1
Review: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,review the pillow are lumpy and uncomfortable,48,7,0
I want a refund for this terrible meal. Terrible.,Compensate Guest,Food,i want a refund for this terrible meal terrible,49,9,-1
Scum line around the edge of the pool.,Pool Maintenance,Recreation,scum line around the edge of the pool,38,8,0
The concierge made a rude comment about my appearance.,Disciplinary Action,Services,the concierge made a rude comment about my appearance,54,9,-1
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food,the buffet area looked unclean and messy terrible,51,8,-1
No water or towels available in the gym. Terrible.,Update Gym Equipment,Recreation,no water or towel available in the gym terrible,50,9,-1
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food,the steak wa tough and flavorless terrible,45,7,-1
Not happy. They refused to accept my voucher.,Compensate Guest,Food,not happy they refused to accept my voucher,45,8,0
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,action needed glass had lipstick mark on it,46,8,0
Review: The dessert was stale and dry.,Revise Menu Quality,Food,review the dessert wa stale and dry,38,7,0
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms,dead bug on the windowsill,28,5,0
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation,not happy no water or towel available in the gym,51,10,0
Feedback: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,feedback bellboy didnt explain how to use the key card,57,10,0
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
"key cards didn't work, had to go back down.",Review Check-in Process,Services,key card didnt work had to go back down,43,9,0
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services,not happy it took minute just to check in,47,10,0
activity director was rude to the guests.,Recreation Staff Review,Recreation,activity director wa rude to the guest,41,7,-1
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,feedback towel are thin scratchy and old,45,7,-1
"Feedback: Key cards didn't work, had to go back down.",Review Check-in Process,Services,feedback key card didnt work had to go back down,53,10,0
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services,honestly priority checkin for member wa not honored,56,8,0
Action needed: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,action needed found trash from previous guest in the drawer,62,10,0
"Honestly, called reception but no one answered the phone.",Staff Communication Training,Services,honestly called reception but no one answered the phone,57,9,0
"The gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,the gym smell like sweat no ventilation,42,7,0
"Review: Worst dining experience ever, I expect compensation.",Compensate Guest,Food,review worst dining experience ever i expect compensation,60,8,-1
"Honestly, hygiene standards in the restaurant seem very low.",Inspect Kitchen Hygiene,Food,honestly hygiene standard in the restaurant seem very low,60,9,0
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation,feedback pool shower wasnt working,37,5,0
Feedback: Charged 5 stars price for 1 star food.,Compensate Guest,Food,feedback charged star price for star food,48,9,0
Lobby is chaotic and disorganized.,Review Check-in Process,Services,lobby is chaotic and disorganized,34,5,0
Evidence of termites in the wooden furniture. Terrible.,Pest Control Investigation,Rooms,evidence of termite in the wooden furniture terrible,55,8,-1
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation,action needed activity director wa rude to the guest,56,9,-1
No one told us about the construction noise. Terrible.,Staff Communication Training,Services,no one told u about the construction noise terrible,54,9,-2
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services,feedback security guard wa sleeping on the job,49,8,0
"Feedback: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,feedback need better lighting the room is too dim,52,9,0
No supervision in the children's play area.,Recreation Staff Review,Recreation,no supervision in the childrens play area,43,7,0
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services,action needed it took minute just to check in,51,10,0
Review: Valet scratched my car and denied it.,Disciplinary Action,Services,review valet scratched my car and denied it,45,8,0
"We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,we waited hour for our food this is unacceptable,53,10,0
Action needed: I want a refund for this terrible meal.,Compensate Guest,Food,action needed i want a refund for this terrible meal,54,10,-1
Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,fly buzzing around the room constantly,41,6,0
The dessert was stale and dry. Terrible.,Revise Menu Quality,Food,the dessert wa stale and dry terrible,40,7,-1
I want a refund for this terrible meal.,Compensate Guest,Food,i want a refund for this terrible meal,39,8,-1
Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services,front desk staff gave u wrong information about breakfast,59,9,0
Review: They forgot to give us our wake-up call.,Staff Communication Training,Services,review they forgot to give u our wakeup call,48,9,0
Charged 5 stars price for 1 star food. Terrible.,Compensate Guest,Food,charged star price for star food terrible,48,9,-1
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain,41,9,0
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services,feedback they couldnt find my booking in the system,54,9,0
Feedback: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms,feedback dead bug on the windowsill,38,6,0
Lizard on the ceiling.,Pest Control Investigation,Rooms,lizard on the ceiling,22,4,0
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services,honestly concierge wa unable to give simple direction,57,8,0
called reception but no one answered the phone.,Staff Communication Training,Services,called reception but no one answered the phone,47,8,0
Action needed: No water or towels available in the gym.,Update Gym Equipment,Recreation,action needed no water or towel available in the gym,55,10,0
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,feedback misunderstanding about the room rate caused issue,61,8,0
Not happy.  Filtration system was making a loud noise.,Pool Maintenance,Recreation,not happy filtration system wa making a loud noise,54,9,0
"Honestly, bellboy didn't explain how to use the key card.",Staff Communication Training,Services,honestly bellboy didnt explain how to use the key card,57,10,0
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services,lobby is chaotic and disorganized terrible,44,6,-1
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms,honestly bed bug bit me all over my leg,43,9,0
Not happy. Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation,not happy tennis coach didnt show up for the lesson,54,10,0
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,not happy tour guide gave u incorrect historical info,56,9,0
Not happy. Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,not happy room wasnt ready at pm checkin time,51,10,0
Not happy. The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,not happy the tv is tiny and ha no channel,46,10,0
"We waited 2 hours for our food, this is unacceptable. Terrible.",Compensate Guest,Food,we waited hour for our food this is unacceptable terrible,63,11,-1
Not happy. Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,not happy bellboy didnt explain how to use the key card,58,11,0
